kode,lat,lng,jml
SMP1,-7.323657675664336,112.70331293846154,429
SMP2,-7.247526089793939,112.71565355575757,165
SMP3,-7.2318401066703295,112.78040972032967,182
SMP4,-7.306087690379807,112.73189028125,208
SMP5,-7.234815134113773,112.72823667994012,334
SMP6,-7.262570700625984,112.70946455551181,254
SMP7,-7.321606076388889,112.68385061111111,72
SMP8,-7.223667788439115,112.74686319151292,271
SMP9,-7.334021502526316,112.74700905639098,133
SMP10,-7.2476755352826085,112.75176085652174,184
SMP11,-7.313280356822314,112.71525107603306,242
SMP12,-7.3047251068108885,112.66282354928367,349
SMP13,-7.2427774156880735,112.73239983211009,109
SMP14,-7.2610843017435895,112.78298597948718,195
SMP15,-7.323668315053892,112.73976270748503,334
SMP16,-7.327872313954023,112.77316354176246,261
SMP17,-7.239301904337143,112.74762404514286,175
SMP18,-7.308750276850163,112.76049578599348,307
SMP19,-7.207923613305556,112.65591931388889,36
SMP20,-7.320591610696721,112.78150260655738,244
SMP21,-7.323262803402116,112.76004569470899,189
SMP22,-7.279382832137404,112.71030747099236,131
SMP23,-7.264969313881279,112.67230143515982,219
SMP24,-7.30616891982243,112.7891298140187,214
SMP25,-7.268024326399351,112.65676625194806,308
SMP26,-7.3378117970705885,112.67932063764705,85
SMP27,-7.232496500344633,112.77772029661017,177
SMP28,-7.228423631817567,112.77607368141892,296
SMP29,-7.314535620483108,112.68822164932432,296
SMP30,-7.332501448349558,112.69508136814159,226
SMP31,-7.334896977967971,112.72019660782918,281
SMP32,-7.236545524912,112.612400672,250
SMP33,-7.249731370737037,112.76548587777778,270
SMP34,-7.258137564535593,112.66106936677966,295
SMP35,-7.244672283952991,112.78615632307692,234
SMP36,-7.297488416103896,112.74608556536796,231
SMP37,-7.275296270383562,112.73188957168949,219
SMP38,-7.285724801926941,112.71406796986301,219
SMP39,-7.2526935585073895,112.63706339704434,203
SMP40,-7.3088212716907215,112.6487509943299,194
SMP41,-7.259855392736318,112.73400040298507,201
SMP42,-7.232203297888268,112.74693445251397,179
SMP43,-7.296051599192308,112.75433916410256,156
SMP44,-7.291127229810056,112.77897843463687,179
SMP45,-7.226588571841629,112.76760175791856,221
SMP46,-7.330048903293785,112.71582716327684,177
SMP47,-7.266181499471338,112.75714603821656,157
SMP48,-7.28291660326396,112.6980783213198,197
SMP49,-7.2187911041104975,112.76556859171271,181
SMP50,-7.214235867773585,112.75870897987421,159
SMP51,-7.249749950854748,112.72640440726256,179
SMP52,-7.274274061072847,112.75012777152318,151
SMP53,-7.258069063677631,112.65693445328948,152
SMP54,-7.238051693292208,112.75166952532467,154
SMP55,-7.2251442006710525,112.7309333625,152
SMP56,-7.25595976385,112.75100778642857,140
SMP57,-7.264016454131035,112.69739496965518,145
SMP58,-7.338124470327586,112.7370500025862,116
SMP59,-7.230845819513761,112.73293931376146,109
SMP60,-7.256932351299065,112.7364902775701,107
SMP61,-7.302544492630769,112.78063318,65
SMP62,-7.337711964015873,112.79497984761905,63
SMP63,-7.338592262304348,112.71660458043478,46
