kode,lat,lng,jml,polygons,colors
SMP1,-7.323657675664336,112.70331293846154,429,"[[112.7058034,  -7.3342285], [112.69356056,  -7.32283315], [112.6935715,  -7.3227293], [112.70153425,  -7.30955595], [112.71216071,  -7.3217807 ]]","[58.6004535, 76.17308133, 192.189204015, 0.9]"
SMP2,-7.247526089793939,112.71565355575757,165,"[[112.71914273,  -7.25775676], [112.70191775,  -7.25067081], [112.68410771,  -7.23095105], [112.68400337,  -7.23041433], [112.69354316,  -7.21602503], [112.70321174,  -7.22262563], [112.72246682,  -7.24168706]]","[246.975902169, 182.53952943599998, 154.55467070999998, 0.9]"
SMP3,-7.2318401066703295,112.78040972032967,182,"[[112.8600986 ,  -7.12624271], [112.77849082,  -7.2298157 ], [112.78082005,  -7.23935918], [332.06350757,  90.96147352], [271.51058465, 173.31300986]]","[244.67700291, 195.57807789999998, 171.906902335, 0.9]"
SMP4,-7.306087690379807,112.73189028125,208,"[[112.72743936,  -7.31863367], [112.71908734,  -7.29931247], [112.72893661,  -7.29069205], [112.7322661 ,  -7.29069197], [112.74455097,  -7.31097127]]","[235.283770419, 211.28487522, 198.14886939599998, 0.9]"
SMP5,-7.234815134113773,112.72823667994012,334,"[[112.72434803,  -7.24191786], [112.73399907,  -7.23687173], [112.72774979,  -7.22946793], [112.70321174,  -7.22262563], [112.72246682,  -7.24168706]]","[137.191075004, 172.09990638, 252.889082856, 0.9]"
SMP6,-7.262570700625984,112.70946455551181,254,"[[112.72172801,  -7.26117265], [112.72227521,  -7.26611723], [112.71979962,  -7.27047972], [112.70438314,  -7.27125267], [112.70191775,  -7.25067081], [112.71914273,  -7.25775676]]","[205.2660135, 217.17487094199998, 236.17209398, 0.9]"
SMP7,-7.321606076388889,112.68385061111111,72,"[[112.69356056,  -7.32283315], [112.6857585 ,  -7.33087538], [112.66400176,  -7.32479373], [112.67491741,  -7.31119712], [112.6935715,  -7.3227293]]","[211.697563097, 77.706854706, 64.99731415699999, 0.9]"
SMP8,-7.223667788439115,112.74686319151292,271,"[[112.75684879,  -7.22785247], [112.75723242,  -7.22512854], [112.75700277,  -7.22424767], [112.73649665,  -7.19849351], [112.73900057,  -7.22550966], [112.74027964,  -7.22799081]]","[192.17070758999998, 211.709377005, 245.022145035, 0.9]"
SMP9,-7.334021502526316,112.74700905639098,133,"[[112.74002174,  -7.33119952], [112.76642341,  -7.39528379], [112.76859031,  -7.36711721], [112.76194154,  -7.33883785], [112.74992031,  -7.32427137]]","[243.946568799, 152.498624793, 121.71208455, 0.9]"
SMP10,-7.2476755352826085,112.75176085652174,184,"[[112.75806592,  -7.25242503], [112.75950918,  -7.24278965], [112.75094294,  -7.24287094], [112.74149549,  -7.24753825], [112.74141928,  -7.2478395 ], [112.74339027,  -7.25109096]]","[244.334888094, 196.66469305200002, 173.476764387, 0.9]"
SMP11,-7.313280356822314,112.71525107603306,242,"[[112.7263117 ,  -7.32129454], [112.72743936,  -7.31863367], [112.71908734,  -7.29931247], [112.70332132,  -7.29998939], [112.70114708,  -7.30121907], [112.70153425,  -7.30955595], [112.71216071,  -7.3217807 ]]","[214.034617907, 219.59754054200002, 228.09590967100002, 0.9]"
SMP12,-7.3047251068108885,112.66282354928367,349,"[[112.668171  ,  -7.28499228], [112.65030566,  -7.28794087], [112.6614089 ,  -7.32608654], [112.66400176,  -7.32479373], [112.67491741,  -7.31119712], [112.68117636,  -7.29499354], [112.67616913,  -7.28689906]]","[124.757834016, 160.021694176, 249.108354991, 0.9]"
SMP13,-7.2427774156880735,112.73239983211009,109,"[[112.74141928,  -7.2478395 ], [112.73379655,  -7.25004229], [112.72434803,  -7.24191786], [112.73399907,  -7.23687173], [112.73911324,  -7.23710296], [112.74149549,  -7.24753825]]","[234.958586413, 125.312206382, 97.76915102100001, 0.9]"
SMP14,-7.2610843017435895,112.78298597948718,195,"[[112.76979414,  -7.26225468], [112.7722979 ,  -7.27494733], [112.81143649,  -7.28016818], [112.87851969,  -7.27102653], [112.77684514,  -7.25138584]]","[241.112776222, 203.644463836, 184.391881411, 0.9]"
SMP15,-7.323668315053892,112.73976270748503,334,"[[112.72710653,  -7.32427618], [112.73000054,  -7.32931904], [112.74002174,  -7.33119952], [112.74992031,  -7.32427137], [112.74974855,  -7.31568021], [112.7467409 ,  -7.31150017], [112.74455097,  -7.31097127], [112.72743936,  -7.31863367], [112.7263117 ,  -7.32129454]]","[137.191075004, 172.09990638, 252.889082856, 0.9]"
SMP16,-7.327872313954023,112.77316354176246,261,"[[112.76194154,  -7.33883785], [112.76985978,  -7.31630393], [112.77020916,  -7.31607248], [112.7843221 ,  -7.33223695], [112.76859031,  -7.36711721]]","[200.613778846, 215.425838644, 239.651648162, 0.9]"
SMP17,-7.239301904337143,112.74762404514286,175,"[[112.74149549,  -7.24753825], [112.73911324,  -7.23710296], [112.73945303,  -7.23651288], [112.74870043,  -7.23561454], [112.75094294,  -7.24287094]]","[246.03301635, 189.87648701999998, 164.02591321499997, 0.9]"
SMP18,-7.308750276850163,112.76049578599348,307,"[[112.7467409 ,  -7.31150017], [112.7516771 ,  -7.30518401], [112.76744794,  -7.29753793], [112.76836023,  -7.29849471], [112.77251603,  -7.31198004], [112.77020916,  -7.31607248], [112.76985978,  -7.31630393], [112.74974855,  -7.31568021]]","[162.045824727, 192.96206800500002, 254.565622571, 0.9]"
SMP19,-7.207923613305556,112.65591931388889,36,"[[112.6367802,  -7.2262185], [112.65303592,  -7.23306498], [112.65941885,  -7.23293577], [112.68400337,  -7.23041433], [112.69354316,  -7.21602503], [112.71192864,  -7.13593661], [127.43885389, 232.6794471 ], [-19.38975956, 193.51563909]]","[179.94665529, 3.9668208, 38.30936706, 0.9]"
SMP20,-7.320591610696721,112.78150260655738,244,"[[112.78182081,  -7.31153178], [112.79904992,  -7.32064312], [112.7843221 ,  -7.33223695], [112.77020916,  -7.31607248], [112.77251603,  -7.31198004]]","[213.012901395, 219.43106931, 229.237454535, 0.9]"
SMP21,-7.323262803402116,112.76004569470899,189,"[[112.74992031,  -7.32427137], [112.76194154,  -7.33883785], [112.76985978,  -7.31630393], [112.74974855,  -7.31568021]]","[242.953983006, 199.65602338800002, 178.154671683, 0.9]"
SMP22,-7.279382832137404,112.71030747099236,131,"[[112.7210867 ,  -7.27727713], [112.70570875,  -7.28639555], [112.70192894,  -7.27331495], [112.70438314,  -7.27125267], [112.71979962,  -7.27047972]]","[243.028668063, 149.228771161, 118.67002183, 0.9]"
SMP23,-7.264969313881279,112.67230143515982,219,"[[112.6643249 ,  -7.26543433], [112.668171  ,  -7.28499228], [112.67616913,  -7.28689906], [112.68520616,  -7.27391958], [112.68367587,  -7.23361944]]","[229.38351768300004, 216.11256017999997, 208.536213972, 0.9]"
SMP24,-7.30616891982243,112.7891298140187,214,"[[112.78182081,  -7.31153178], [112.79904992,  -7.32064312], [113.13289952,  -7.25872673], [112.87851969,  -7.27102653], [112.81143649,  -7.28016818], [112.78863558,  -7.29555613]]","[232.755090675, 213.35388306, 202.6005885, 0.9]"
SMP25,-7.268024326399351,112.65676625194806,308,"[[112.64497955,  -7.26284613], [112.62874878,  -7.28370565], [112.65030566,  -7.28794087], [112.668171  ,  -7.28499228], [112.6643249 ,  -7.26543433], [112.65891944,  -7.26308165]]","[160.672575159, 191.891641125, 254.619543147, 0.9]"
SMP26,-7.3378117970705885,112.67932063764705,85,"[[ -52.6706079 , -181.66376122], [ 107.66897964, -247.57992622], [112.69739314,  -7.36540616], [112.6857585 ,  -7.33087538], [112.66400176,  -7.32479373], [112.6614089 ,  -7.32608654]]","[220.674789899, 94.637556372, 75.421083886, 0.9]"
SMP27,-7.232496500344633,112.77772029661017,177,"[[112.76757453,  -7.23825421], [112.7706509 ,  -7.23298529], [112.77849082,  -7.2298157 ], [112.78082005,  -7.23935918], [112.77490471,  -7.24345764]]","[245.761813662, 191.016805196, 165.602111039, 0.9]"
SMP28,-7.228423631817567,112.77607368141892,296,"[[112.7706509 ,  -7.23298529], [112.77325781,  -7.22094997], [112.8600986 ,  -7.12624271], [112.77849082,  -7.2298157 ]]","[171.497177945, 199.629669015, 252.955384659, 0.9]"
SMP29,-7.314535620483108,112.68822164932432,296,"[[112.6935715,  -7.3227293], [112.67491741,  -7.31119712], [112.68117636,  -7.29499354], [112.70114708,  -7.30121907], [112.70153425,  -7.30955595]]","[171.497177945, 199.629669015, 252.955384659, 0.9]"
SMP30,-7.332501448349558,112.69508136814159,226,"[[112.7058034,  -7.3342285], [112.69356056,  -7.32283315], [112.6857585 ,  -7.33087538], [112.69739314,  -7.36540616], [112.70592499,  -7.33525702]]","[225.340220643, 218.307468078, 214.265705895, 0.9]"
SMP31,-7.334896977967971,112.72019660782918,281,"[[112.71593332,  -7.33434629], [112.72698121,  -7.34508547], [112.73000054,  -7.32931904], [112.72710653,  -7.32427618]]","[184.63054983, 207.802150125, 248.79099751500002, 0.9]"
